term,estimate,std.error,statistic,p.value,b,df,dfcom,fmi,lambda,m,riv,ubar,model,type
factor(ValidatedStateOrProvince_X)Alaska,-10.412418479698916,121.08605599556577,-0.08599188729113634,0.9314742040596335,5.270558176889943e-5,12869.529335765841,12873,1.5537357428046386e-4,3.9542218300778395e-9,10,3.95422184571371e-9,14661.832898585151,Main,interaction
factor(ValidatedStateOrProvince_X)Arizona,-0.6066587547029066,0.7202833075859649,-0.8422501928249985,0.39966357575472555,5.9292356181554277e-5,12869.091571630292,12873,2.810696752568991e-4,1.2571430350050283e-4,10,1.257301095736569e-4,0.5187428215951781,Main,interaction
factor(ValidatedStateOrProvince_X)Arkansas,-0.5405665749008703,0.7128739846280993,-0.7582919093097213,0.44829013623611846,6.594925494139646e-5,12868.788154127253,12873,2.981066923969346e-4,1.427503055884998e-4,10,1.4277068614757644e-4,0.5081167737791079,Main,interaction
factor(ValidatedStateOrProvince_X)California,-0.7580583635023437,0.7093052548432576,-1.0687336070418083,0.2852097702644554,6.900971122279784e-5,12868.639568041719,12873,3.062386069918764e-4,1.5088169025654247e-4,10,1.5090445897638006e-4,0.5030380338659135,Main,interaction
factor(ValidatedStateOrProvince_X)Colorado,-0.5165922582515715,0.7157372467402829,-0.7217624353131165,0.47045366231585195,7.315791659867007e-5,12868.524497607805,12873,3.1244670366064936e-4,1.570893626054826e-4,10,1.5711404355044033e-4,0.512199332663102,Main,interaction
factor(ValidatedStateOrProvince_X)Connecticut,-0.6904509254640498,0.7112333129968763,-0.9707797889200984,0.33167619481582156,6.88453778015179e-5,12868.66117609539,12873,3.050642468755007e-4,1.4970740848258373e-4,10,1.4972982414652926e-4,0.5057770956009309,Main,interaction
factor(ValidatedStateOrProvince_X)Delaware,-0.5582591993205657,0.7342110058298138,-0.7603525347452599,0.4470578165943542,4.242045150750941e-5,12869.529335765841,12873,2.4191795416075187e-4,8.656178255907313e-5,10,8.656927614993151e-5,0.5390191385849686,Main,interaction
factor(ValidatedStateOrProvince_X)District of Columbia,-0.07976539050358726,0.8666699314387143,-0.0920366423364577,0.926670359495444,1.4433511724575956e-4,12867.457810258798,12873,3.667385405513111e-4,2.1137675964504952e-4,10,2.1142144922590636e-4,0.7509580014310153,Main,interaction
factor(ValidatedStateOrProvince_X)Florida,-0.668489409883971,0.7093625764833705,-0.9423804300446378,0.3460155933475333,6.593896960145318e-5,12868.762849178289,12873,2.9950104851811577e-4,1.4414457293001885e-4,10,1.4416535358334243e-4,0.5031227320485642,Main,interaction
factor(ValidatedStateOrProvince_X)Georgia,-1.0663159548323822,0.7170309181221179,-1.48712688376818,0.13700580228766635,6.519806683032e-5,12868.846997758294,12873,2.948489335128036e-4,1.394927507639926e-4,10,1.3951221170616866e-4,0.5140616196695341,Main,interaction
factor(ValidatedStateOrProvince_X)Hawaii,-0.8627893359121769,0.7211562132363185,-1.196397285465037,0.2315636018684546,7.016971366058553e-5,12868.684862267444,12873,3.037737671826402e-4,1.484170141724991e-4,10,1.4843904505235239e-4,0.51998909720431985,Main,interaction
factor(ValidatedStateOrProvince_X)Idaho,-0.8854975723531976,0.7148187357085393,-1.2387721923313593,0.21545246931885798,6.795372990607055e-5,12868.723774712049,12873,3.0164644237218546e-4,1.4628982849956246e-4,10,1.4631123234464975e-4,0.5108910758170578,Main,interaction
factor(ValidatedStateOrProvince_X)Illinois,-0.4146161737916609,0.7085415946261222,-0.5851684317989014,0.5584447291447225,6.639252432957754e-5,12868.738680180511,12873,3.0082914916132876e-4,1.4547258820949178e-4,10,1.4549375356239083e-4,0.5019581595385655,Main,interaction
factor(ValidatedStateOrProvince_X)Indiana,-0.8983149711276407,0.7100950941438835,-1.265062916975482,0.20587168136130196,6.268758929013861e-5,12868.896161146913,12873,2.921103900511997e-4,1.3675437519414455e-4,10,1.3677307951117645e-4,0.5041660863789916,Main,interaction
factor(ValidatedStateOrProvince_X)Iowa,-0.48477104382946157,0.7098956490183084,-0.6828764826208411,0.494697188282319,6.658189393844617e-5,12868.741250697305,12873,3.0068806690363814e-4,1.4533151505704512e-4,10,1.4535263937634322e-4,0.503878592411793,Main,interaction
factor(ValidatedStateOrProvince_X)Kansas,-0.6063858675704703,0.711701139085778,-0.852023179770948,0.3942170821978783,6.543828968566304e-5,12868.799723635304,12873,2.974678725318813e-4,1.4211152610925265e-4,10,1.4213172466555343e-4,0.5064465292573397,Main,interaction
factor(ValidatedStateOrProvince_X)Kentucky,-0.5746942075835367,0.7119739530117296,-0.807184315033599,0.4195752193687061,6.923631850213923e-5,12868.65130022561,12873,3.0560132511875843e-4,1.502444509729366e-4,10,1.5026702776002176e-4,0.5068307498167962,Main,interaction
factor(ValidatedStateOrProvince_X)Louisiana,-0.6054758631569537,0.7094381294817076,-0.8534583045307906,0.3934210857927769,6.867036555463214e-5,12868.654260853438,12873,3.054403781615774e-4,1.5008351474331415e-4,10,1.501060431858597e-4,0.503226922160394,Main,interaction
factor(ValidatedStateOrProvince_X)Maine,-0.5233539872727078,0.7132152373174298,-0.7337952975334139,0.4630868749607484,6.130093742237345e-5,12868.970897143186,12873,2.879176199679415e-4,1.3256185570557737e-4,10,1.3257943068093682e-4,0.508608543710593,Main,interaction
factor(ValidatedStateOrProvince_X)Maryland,-0.5404096312556262,0.7100893856313162,-0.7610445138187307,0.4466444246134016,6.189988635524892e-5,12868.926832702089,12873,2.9039406614912223e-4,1.3503815481734696e-4,10,1.350563925833977e-4,0.5041588457112693,Main,interaction
factor(ValidatedStateOrProvince_X)Massachusetts,-0.46403281658006523,0.7086516385251097,-0.6548108991123474,0.5126012157397406,6.420412593583061e-5,12868.826428676928,12873,2.959901573377774e-4,1.4063390364113204e-4,10,1.4065368431781915e-4,0.5021165202457933,Main,interaction
factor(ValidatedStateOrProvince_X)Michigan,-0.5802452234413565,0.7085190837079607,-0.8189549678813218,0.4128272721050519,6.650833534863567e-5,12868.733885814301,12873,3.0109217967904284e-4,1.4573560172800355e-4,10,1.4575684368932457e-4,0.5019261328094847,Main,interaction
factor(ValidatedStateOrProvince_X)Minnesota,-0.5537046677809201,0.7096772688969099,-0.7802203791049607,0.435275518872829,6.278405568460459e-5,12868.889502790427,12873,2.924821808556047e-4,1.3712614340052174e-4,10,1.3714494955854156e-4,0.5035727635277238,Main,interaction
factor(ValidatedStateOrProvince_X)Mississippi,-0.4656759832829356,0.7100681498326208,-0.6558187173903041,0.5119524961300523,6.280372247687527e-5,12868.891438003739,12873,2.9237415122811784e-4,1.3701812034557021e-4,10,1.3703689688359923e-4,0.5041276933119966,Main,interaction
factor(ValidatedStateOrProvince_X)Missouri,-0.8273678109683098,0.7195897321798839,-1.1497771215577648,0.25025704718147046,6.339514043210091e-5,12868.933354549046,12873,2.900283322557258e-4,1.346724428152597e-4,10,1.3469058192495177e-4,0.5177396480042417,Main,interaction
factor(ValidatedStateOrProvince_X)Montana,-1.4989092206098429,1.2250678678085432,-1.2235315773085775,0.22115138617115937,7.99778814474492e-5,12869.529335765841,12873,2.1398003637490003e-4,5.8619523395014194e-5,10,5.8622959844980314e-5,1.500703305067378,Main,interaction
factor(ValidatedStateOrProvince_X)Nebraska,-1.0060825012083383,0.7909669471729335,-1.2719652885677066,0.20340843655889662,6.669704882648882e-5,12869.238030837909,12873,2.7262375703537053e-4,1.1726884070087007e-4,10,1.1728259429473741e-4,0.625555344766361,Main,interaction
factor(ValidatedStateOrProvince_X)Nevada,-0.6698467566786919,0.7207468911696389,-0.929378627761619,0.3527103321946825,6.966904706411302e-5,12868.70119151675,12873,3.02882162040008e-4,1.47525467589802e-4,10,1.4754723456457272e-4,0.5193994451789288,Main,interaction
factor(ValidatedStateOrProvince_X)New Hampshire,-0.4395010871807755,0.7143797178869942,-0.6152205559261119,0.5384199530493656,6.149389409122882e-5,12868.971179520035,12873,2.879017092617738e-4,1.325459459355002e-4,10,1.3256351669221672e-4,0.5102707380448009,Main,interaction
factor(ValidatedStateOrProvince_X)New Jersey,-0.8727606068036111,0.7155590788111781,-1.2196904946739071,0.22260457924323096,6.772139895197894e-5,12868.738396630572,12873,3.008447092796774e-4,1.45488147323072e-4,10,1.4550931720405024e-4,0.5119503017302546,Main,interaction
factor(ValidatedStateOrProvince_X)New Mexico,-0.41296025757039695,0.7565597035013113,-0.545839615378988,0.5851856506543465,6.967377102675336e-5,12868.94714093943,12873,2.8925430587836107e-4,1.3389846257205382e-4,10,1.3391639377129298e-4,0.5723059438138626,Main,interaction
factor(ValidatedStateOrProvince_X)New York,-0.7069926917533753,0.7085235824585081,-0.9978393228637207,0.3183760407474847,6.746385644484095e-5,12868.695662895836,12873,3.031842129855966e-4,1.4782749873644695e-4,10,1.4784935493677705e-4,0.501931456657749,Main,interaction
factor(ValidatedStateOrProvince_X)North Carolina,-0.7556811573928877,0.7098207937503662,-1.0646083688253432,0.28707316612493994,6.985225614610553e-5,12868.609668370362,12873,3.078590780130684e-4,1.525020521696304e-4,10,1.5252531259280863e-4,0.5037687217586393,Main,interaction
factor(ValidatedStateOrProvince_X)North Dakota,-0.5832591763248837,0.726402908862904,-0.8029416859548448,0.42202326926604705,6.571450678650194e-5,12868.891885639587,12873,2.923491593909888e-4,1.3699313002820955e-4,10,1.370118997172029e-4,0.5275889000470233,Main,interaction
factor(ValidatedStateOrProvince_X)Ohio,-0.6088666772909683,0.7080631118131261,-0.8599045298827289,0.3898576900680195,6.70308170113945e-5,12868.709527576255,12873,3.024263824969366e-4,1.4706971784565976e-4,10,1.4709135052907963e-4,0.5012796364117749,Main,interaction
factor(ValidatedStateOrProvince_X)Oklahoma,-0.6341822900615987,0.7143387098346362,-0.8877893376496521,0.3746706717160877,6.87061808445606e-5,12868.6905153379,12873,3.034652803320233e-4,1.481085476229896e-4,10,1.4813048701427998e-4,0.5102042155692835,Main,interaction
factor(ValidatedStateOrProvince_X)Oregon,-0.7895010028694874,0.7111676975253273,-1.1101474456963372,0.2669562381709665,6.816005338780783e-5,12868.688024422345,12873,3.0360123259060695e-4,1.4824449093994355e-4,10,1.4826647062740516e-4,0.5056845179447487,Main,interaction
factor(ValidatedStateOrProvince_X)Pennsylvania,-0.6857034330740295,0.7082920540276254,-0.9681083236425593,0.33300846715519916,6.682504994997562e-5,12868.719508597906,12873,3.0188011344815964e-4,1.4652348439052074e-4,10,1.465449566681916e-4,0.5016041262437276,Main,interaction
factor(ValidatedStateOrProvince_X)Puerto Rico,0.4302505428563457,1.2259511304609982,0.35095244187633906,0.7256297726128642,2.0102771943959885e-4,12868.708418716864,12873,3.024870341988458e-4,1.471303655874721e-4,10,1.4715201611740036e-4,1.502735043787216,Main,interaction
factor(ValidatedStateOrProvince_X)Rhode Island,-0.5022283513138033,0.8021077386140141,-0.6261357759515183,0.5312369935026973,9.051077600362773e-5,12868.568048794317,12873,3.101060755699157e-4,1.5474889650467336e-4,10,1.5477284743202236e-4,0.6432772624908836,Main,interaction
factor(ValidatedStateOrProvince_X)South Carolina,-0.7405530971872557,0.71116196586301506,-1.0413283228505812,0.2977427586801351,6.43375528302131e-5,12868.839067816716,12873,2.952892211574688e-4,1.399330111052734e-4,10,1.3995259509331682e-4,0.5056805703820348,Main,interaction
factor(ValidatedStateOrProvince_X)South Dakota,-0.7258269533133822,0.8664526789345103,-0.8376994739123461,0.4022150661857591,9.25670816662223e-5,12868.916246550452,12873,2.9098713302078133e-4,1.3563118606426045e-4,10,1.356495843782788e-4,0.7506384210429567,Main,interaction
factor(ValidatedStateOrProvince_X)Tennessee,-0.8664445399149349,0.7300452769821063,-1.18683671716456,0.235313942040843,7.748420281991194e-5,12868.471532188816,12873,3.152788224936284e-4,1.5992128218171762e-4,10,1.599468610888239e-4,0.5328808738207784,Main,interaction
factor(ValidatedStateOrProvince_X)Texas,-0.5201725818965481,0.7082779723432102,-0.7344186918246952,0.46270697961552143,6.76570666076438e-5,12868.686022893335,12873,3.0371044764578763e-4,1.4835369880606655e-4,10,1.483757108915903e-4,0.5015832633333409,Main,interaction
factor(ValidatedStateOrProvince_X)Utah,-0.37639606630420563,0.7141714724973208,-0.5270387866208387,0.5981757386448594,6.271703604658546e-5,12868.922852779886,12873,2.906171179140053e-4,1.3526119320212562e-4,10,1.3527949126753024e-4,0.5099719033893402,Main,interaction
factor(ValidatedStateOrProvince_X)Vermont,-0.6680413463433963,0.7205999629715154,-0.9270626986832128,0.3539113676406269,6.463972562639827e-5,12868.892987488345,12873,2.922876369053945e-4,1.3693161128265234e-4,10,1.3695036411667658e-4,0.5191932029363603,Main,interaction
factor(ValidatedStateOrProvince_X)Virgin Islands,-10.29200068223761,328.5090916421929,-0.03132942418971923,0.9750073106341759,2.176828837492018e-4,12869.529335765841,12873,1.553718391488177e-4,2.2188205552380263e-9,10,2.2188205601611906e-9,107918.22305212755,Main,interaction
factor(ValidatedStateOrProvince_X)Virginia,-0.558084882138456,0.7089414867078,-0.7872086661624281,0.4311742224349271,6.416477653191324e-5,12868.830056819694,12873,2.9578905177008114e-4,1.4043281061777637e-4,10,1.404525347619914e-4,0.5025274503212807,Main,interaction
factor(ValidatedStateOrProvince_X)Washington,-0.5812894423627509,0.7107636990031586,-0.8178378315859484,0.4134649345457524,6.25347656787081e-5,12868.906716266187,12873,2.9152042852212634e-4,1.3616444939790269e-4,10,1.361829926801183e-4,0.5051162475784061,Main,interaction
factor(ValidatedStateOrProvince_X)West Virginia,-0.35621452436489526,0.7111797052624297,-0.5008783598984309,0.6164652997986586,6.684377698067046e-5,12868.740426534994,12873,3.007333052478823e-4,1.4537675048263476e-4,10,1.4539788795511272e-4,0.5057030450224775,Main,interaction
factor(ValidatedStateOrProvince_X)Wisconsin,-0.5083869611122358,0.7084668850490325,-0.7175874721047133,0.47302470978443756,6.58271482293117e-5,12868.760674439924,12873,2.996206977155407e-4,1.442642144690812e-4,10,1.4428502963554122e-4,0.5018529173480268,Main,interaction
factor(ValidatedStateOrProvince_X)Wyoming,-0.9988273896041164,0.8022286849307434,-1.245065663153575,0.21313028624141417,8.91743484695796e-5,12868.611221727795,12873,3.0777501942646346e-4,1.524179992714504e-4,10,1.524412340593522e-4,0.6434727711423934,Main,interaction
htn_dx,-0.00933356648313861,0.024839221933875937,-0.3757592129087351,0.7071021225865619,6.116586894257329e-7,12835.159992631396,12873,0.00124611615576102,0.0010905004756171805,10,0.001091690965133886,6.163141217219751e-4,Main,interaction
hld_dx,0.05397300985425524,0.02675014926167621,2.017671353018581,0.0436462381587317,4.216501884231074e-7,12854.939113977563,12873,8.03620531545687e-4,6.481754301633877e-4,10,6.485958340471234e-4,7.151066703146908e-4,Main,interaction
cerebro_dx,0.020305014040827483,0.05107775976127432,0.3975314135883884,0.6909822193207886,2.380755249259693e-7,12869.523056822827,12873,2.5573330596896746e-4,1.0037920539664396e-4,10,1.0038928239304091e-4,0.002608675659153036,Main,interaction
pulmonary_dx,-0.1494773813466205,0.02954307655915041,-5.059641674330722,4.258377317434281e-7,2.1190050975847772e-7,12866.251106352176,12873,4.224304015211808e-4,2.67062707001717e-4,10,2.6713404854385343e-4,8.725602820190882e-4,Main,interaction
cardiovascular_dx,0.04786990900200405,0.020419308936620695,2.344345205343972,0.01907566638382141,3.00021588240785e-7,12849.30923244383,12873,9.470131065168474e-4,7.915222200608043e-4,10,7.921492237730245e-4,4.166181537020929e-4,Main,interaction
obesity_dx,-0.03701112934035021,0.022195604239309753,-1.6674981650105867,0.09544148036328148,3.0351890848237048e-6,12000.851944344433,12873,0.00694259336008062,0.006777109331241577,10,0.006823351933299083,4.893061395547589e-4,Main,interaction
htn_rx,0.047463048626199836,0.020163449328949964,2.3539151388177455,0.01859180202329669,6.53885157311e-8,12868.147505749386,12873,3.3227375023834807e-4,1.7691493943861904e-4,10,1.7694624387263767e-4,4.064927614738286e-4,Main,interaction
hld_rx,-0.17239225340577088,0.19009829073875448,-0.9068585137500453,0.364498601086201,2.7131864256626905e-6,12869.529335765841,12873,2.3794458893575633e-4,8.258779989789896e-5,10,8.259462120594775e-5,0.0361343756367278,Main,interaction
statin_rx,0.1450231442296636,0.18961136272105458,0.7648441641285674,0.4443783705300144,4.078276267718009e-6,12869.107925102873,12873,2.8013406332420767e-4,1.247787435779384e-4,10,1.2479431525580167e-4,0.03594798276904084,Main,interaction
insulin_rx,0.3358999536952648,0.02077992777548636,16.164635282877107,0,5.8989053641001176e-8,12868.650806191641,12873,3.0562817697272126e-4,1.5027130103602992e-4,10,1.5029388589380094e-4,4.3174051039542445e-4,Main,interaction
otherdm_rx,-0.09794942441390571,0.020772619623492715,-4.715314013795842,2.438718567088216e-6,9.684412101120845e-8,12866.7016567519,12873,4.0224397136259853e-4,2.4687857936128e-4,10,2.469395434449538e-4,4.313951974892023e-4,Main,interaction
depres_rx,0.017797202501146202,0.038937976309316856,0.45706542013812335,0.647631739963537,2.609173583131286e-7,12867.90467978006,12873,3.44659072494733e-4,1.8929925504295128e-4,10,1.893350960355843e-4,0.0015158789899707764,Main,interaction
psych_rx,-0.10442312013128796,0.04619990828376345,-2.260245182520991,0.023822699138591474,1.388200548359973e-6,12852.391386364689,12873,8.708880701970233e-4,7.154226242463594e-4,10,7.159348202142265e-4,0.0021329045048249584,Main,interaction
historical_hba1c_group7-9:raceethNHBlack,0.0472609288881408,0.06545606405216531,0.7220252175638934,0.4702920919121809,1.4388117820137745e-7,12869.529335765841,12873,1.9230388176641664e-4,3.694000044727406e-5,10,3.6941365061315945e-5,0.004284338051905146,Main,interaction
historical_hba1c_group>=9:raceethNHBlack,0.06902533416621098,0.06496669787077859,1.0624725656136191,0.2880411424064966,1.87417409263424e-7,12869.529335765841,12873,2.042071345840843e-4,4.884510295620259e-5,10,4.884748891682788e-5,0.004220465673082837,Main,interaction
historical_hba1c_groupUnavailable:raceethNHBlack,0.14505986932066373,0.07136377152993578,2.032682216911893,0.042105125516171515,9.350266518550701e-8,12869.529335765841,12873,1.7556228405606452e-4,2.019580119703595e-5,10,2.0196209075659374e-5,0.005092685034045169,Main,interaction
historical_hba1c_group7-9:raceethHispanic,-0.034977458900874524,0.08967697489716633,-0.3900383453052871,0.6965146473577788,4.833045813104079e-7,12869.529335765841,12873,2.2146699630795023e-4,6.610764675495043e-5,10,6.611201726483402e-5,0.00804142819166756,Main,interaction
historical_hba1c_group>=9:raceethHispanic,0.011442161272173108,0.08762872054076998,0.13057546888236887,0.896113190412877,5.644252884480909e-7,12869.529335765841,12873,2.3621193280330376e-4,8.085487452148799e-5,10,8.086141256085422e-5,0.00767817179579507,Main,interaction
historical_hba1c_groupUnavailable:raceethHispanic,0.008979959468134019,0.09774328557856415,0.09187290374965042,0.9268004500073612,6.636737705391447e-7,12869.529335765841,12873,2.3177184292857815e-4,7.641409468448363e-5,10,7.641993424457478e-5,0.009553019834545153,Main,interaction
historical_hba1c_group7-9:raceethNHOther,0.04031038170755849,0.09538744420394477,0.42259630755356214,0.6725968813414758,6.971847164006705e-8,12869.529335765841,12873,1.6379696301813032e-4,8.428651901579288e-6,10,8.428722944350961e-6,0.009098687821441872,Main,interaction
historical_hba1c_group>=9:raceethNHOther,0.1937919432769518,0.0979890624260086,1.9776895347201,0.047985040827339454,5.646547904376671e-7,12869.529335765841,12873,2.2004708962191735e-4,6.468751942427284e-5,10,6.469170417014294e-5,0.009601235234858731,Main,interaction
historical_hba1c_groupUnavailable:raceethNHOther,0.16797257994301745,0.10654011722061124,1.57661343280859,0.11490907897998182,7.46738401345334e-7,12869.529335765841,12873,2.2772442091741987e-4,7.236604372918396e-5,10,7.237128095246611e-5,0.011349975165140105,Main,interaction
